Field,ID,Type (種類),default,en,ja,fr,de,zh-cn,zh-tw,ko,ru,it,es,pt,hi,ar,id,th,vi,tr,uk,en-us,nl,sv,pl
Description,2,テキスト,,"Tired of copying and pasting the same text over and over?
MyQuickPaste is a lightweight and powerful tool that lets you save your frequently used text and paste it instantly with just one click.
Perfect for:

AI prompts (ChatGPT, Claude, etc.)
Programming code snippets
Email templates
Repetitive messages
Any text you use regularly

Features:

Up to 100 saved snippets
Organize with 5 tabs (A–E)
Copy history (last 20 items)
Clean and simple interface
Works with any application

Stop wasting time on repetitive typing.
Save once, paste anywhere.","同じ文章を何度もコピペしてませんか？
MyQuickPasteは、よく使うテキストを保存して、ワンクリックで素早く貼り付けできる軽量なツールです。
特に便利な使い方：

AIプロンプト（ChatGPT / Claudeなど）の保存
プログラミングのコードスニペット
メールの定型文
繰り返し使うメッセージ
その他、よく使う文章全般

主な機能：

最大100個のテキストを保存可能
タブで整理できる（A〜Eの5タブ）
コピー履歴（直近20件）
シンプルで見やすい画面

もう同じ文章を何度も打つ必要はありません。
一度保存すれば、いつでもすぐ呼び出せます。","Fatigué de copier-coller le même texte encore et encore ?
MyQuickPaste est un outil léger et puissant qui vous permet d'enregistrer vos textes fréquemment utilisés et de les coller en un seul clic.
Idéal pour :

Les prompts IA (ChatGPT, Claude, etc.)
Les extraits de code de programmation
Les modèles d'e-mails
Les messages répétitifs
Tout texte que vous utilisez régulièrement

Fonctionnalités principales :

Jusqu'à 100 textes enregistrés
Organisation par onglets (A à E)
Historique des copies (20 derniers éléments)
Interface simple et épurée

Arrêtez de perdre du temps avec la saisie répétitive.
Enregistrez une fois, collez partout.","Müde, immer wieder denselben Text zu kopieren und einzufügen?
MyQuickPaste ist ein leichtes und leistungsstarkes Tool, mit dem du deine häufig verwendeten Texte speichern und mit nur einem Klick einfügen kannst.
Ideal für:

KI-Prompts (ChatGPT, Claude etc.)
Code-Snippets
E-Mail-Vorlagen
Wiederkehrende Nachrichten
Alle Texte, die du regelmäßig brauchst

Wichtige Funktionen:

Bis zu 100 gespeicherte Texte
Organisation in 5 Tabs (A–E)
Kopierverlauf (letzte 20 Einträge)
Saubere und übersichtliche Oberfläche

Hör auf, Zeit mit ständigem Kopieren und Einfügen zu verschwenden.
Einmal speichern. Überall einfügen.","厌倦了反复复制粘贴相同的文字吗？
MyQuickPaste 是一款轻量高效的工具，让你保存常用文本，一键快速粘贴。
特别适合：

AI提示词（ChatGPT / Claude 等）
编程代码片段
邮件模板
重复使用的消息
任何经常使用的文字

主要功能：

最多保存 100 条文本
5个标签页整理（A–E）
复制历史记录（最近 20 条）
简洁清晰的界面

告别重复打字的烦恼。
一次保存，随处粘贴。","厭倦了反覆複製貼上相同的文字嗎？
MyQuickPaste 是一款輕量又強大的工具，能讓你把常用文字儲存起來，只需一鍵就能快速貼上。
特別適合用來：

AI 提示詞（ChatGPT / Claude 等）
程式碼片段
郵件模板
重複使用的訊息
任何經常需要輸入的文字

主要功能：

最多可儲存 100 條文字
5 個標籤頁分類整理（A～E）
複製歷史記錄（最近 20 筆）
乾淨簡潔的操作介面

不再浪費時間重複打字。
一次儲存，隨處貼上。","같은 텍스트를 반복해서 복사-붙여넣기 하시나요?
MyQuickPaste는 자주 쓰는 텍스트를 저장해 두고 한 번의 클릭으로 바로 붙여넣기할 수 있는 가볍고 강력한 도구입니다.
특히 유용한 경우:

AI 프롬프트 (ChatGPT, Claude 등)
프로그래밍 코드 스니펫
이메일 정형 문구
반복해서 보내는 메시지
기타 자주 사용하는 모든 텍스트

주요 기능:

최대 100개 텍스트 저장 가능
5개 탭(A~E)으로 깔끔하게 정리
복사 기록 (최근 20개)
심플하고 직관적인 인터페이스

반복 작업에서 벗어나세요.
한 번 저장하면 어디서든 바로 사용 가능합니다.","Надоело постоянно копировать и вставлять один и тот же текст?
MyQuickPaste — это лёгкий и мощный инструмент, который позволяет сохранять часто используемые тексты и вставлять их одним кликом.
Отлично подходит для:

AI-промптов (ChatGPT, Claude и другие)
Фрагментов кода
Шаблонов писем
Повторяющихся сообщений
Любых текстов, которые вы используете регулярно

Основные возможности:

До 100 сохранённых текстов
Организация по 5 вкладкам (A–E)
История копирования (последние 20 записей)
Чистый и понятный интерфейс

Хватит тратить время на повторяющийся набор текста.
Сохраните один раз — вставляйте где угодно.","Stanco di copiare e incollare sempre lo stesso testo?
MyQuickPaste è uno strumento leggero e potente che ti permette di salvare i testi che usi più spesso e incollarli con un solo clic.
Perfetto per:

Prompt AI (ChatGPT, Claude, ecc.)
Frammenti di codice di programmazione
Modelli di email
Messaggi ripetitivi
Qualsiasi testo che usi regolarmente

Funzionalità principali:

Fino a 100 testi salvati
Organizzazione in 5 schede (A–E)
Cronologia copie (ultimi 20 elementi)
Interfaccia pulita e semplice

Smetti di perdere tempo con operazioni ripetitive.
Salva una volta, incolla ovunque.","¿Cansado de copiar y pegar el mismo texto una y otra vez?
MyQuickPaste es una herramienta ligera y potente que te permite guardar los textos que usas frecuentemente y pegarlos con un solo clic.
Ideal para:

Prompts de IA (ChatGPT, Claude, etc.)
Fragmentos de código
Plantillas de correos
Mensajes repetitivos
Cualquier texto que uses regularmente

Funcionalidades principales:

Hasta 100 textos guardados
Organización en 5 pestañas (A–E)
Historial de copias (últimos 20 elementos)
Interfaz limpia y sencilla

Deja de perder tiempo con tareas repetitivas.
Guarda una vez, pega en cualquier lugar.","Cansado de copiar e colar o mesmo texto repetidamente?
MyQuickPaste é uma ferramenta leve e poderosa que permite guardar os textos que usa com frequência e colar com apenas um clique.
Ideal para:

Prompts de IA (ChatGPT, Claude, etc.)
Trechos de código de programação
Modelos de e-mail
Mensagens repetitivas
Qualquer texto que use regularmente

Principais funcionalidades:

Até 100 textos guardados
Organização em 5 abas (A–E)
Histórico de cópias (últimos 20 itens)
Interface limpa e simples

Pare de perder tempo com tarefas repetitivas.
Guarde uma vez, cole em qualquer lugar.","क्या आप बार-बार एक ही टेक्स्ट को कॉपी-पेस्ट करते-करते थक गए हैं?
MyQuickPaste एक हल्का और शक्तिशाली टूल है जो आपको अपने अक्सर इस्तेमाल होने वाले टेक्स्ट को सेव करने और एक क्लिक में तुरंत पेस्ट करने की सुविधा देता है।
खासतौर पर उपयोगी:

AI प्रॉम्प्ट (ChatGPT, Claude आदि)
प्रोग्रामिंग कोड स्निपेट्स
ईमेल टेम्प्लेट
बार-बार भेजे जाने वाले मैसेज
कोई भी टेक्स्ट जो आप नियमित रूप से इस्तेमाल करते हैं

मुख्य विशेषताएं:

100 तक टेक्स्ट सेव कर सकते हैं
5 टैब (A–E) में व्यवस्था
कॉपी इतिहास (आखिरी 20 आइटम)
साफ-सुथरा और आसान इंटरफेस

बार-बार टाइप करने की परेशानी खत्म करें।
एक बार सेव करें, कहीं भी पेस्ट करें।","هل سئمت من نسخ ولصق نفس النص مرارًا وتكرارًا؟
MyQuickPaste هو أداة خفيفة الوزن وقوية تتيح لك حفظ النصوص التي تستخدمها بشكل متكرر ولصقها بنقرة واحدة فقط.
مثالي لـ

موجهات الذكاء الاصطناعي (ChatGPT و Claude وغيرها)
مقتطفات البرمجة
قوالب البريد الإلكتروني
الرسائل المتكررة
أي نص تستخدمه بانتظام

الميزات الرئيسية:

حفظ حتى 100 نص
تنظيم في 5 علامات تبويب (A–E)
سجل النسخ (آخر 20 عنصر)
واجهة بسيطة ونظيفة

توقف عن إضاعة الوقت في الكتابة المتكررة.
احفظ مرة واحدة، والصق في أي مكان.","Bosan menyalin dan menempel teks yang sama berulang-ulang?
MyQuickPaste adalah alat ringan namun tangguh yang memungkinkan Anda menyimpan teks yang sering digunakan dan menempelkannya secara instan hanya dengan satu klik.
Sangat cocok untuk:

Prompt AI (ChatGPT, Claude, dll)
Potongan kode pemrograman
Template email
Pesan berulang
Teks apa pun yang Anda gunakan secara rutin

Fitur Utama:

Hingga 100 teks yang disimpan
Organisasi dalam 5 tab (A–E)
Riwayat salinan (20 item terakhir)
Antarmuka yang bersih dan sederhana
Dapat digunakan di semua aplikasi

Hentikan pemborosan waktu untuk mengetik berulang.
Simpan sekali, tempel di mana saja.","เบื่อกับการคัดลอกและวางข้อความเดิมซ้ำๆ อยู่บ่อยๆ ไหม?
MyQuickPaste คือเครื่องมือที่เบาและทรงพลัง ช่วยให้คุณบันทึกข้อความที่ใช้บ่อยและวางได้ด้วยคลิกเดียว
เหมาะสำหรับ:

Prompt AI (ChatGPT, Claude ฯลฯ)
ชิ้นส่วนโค้ดโปรแกรม
แม่แบบอีเมล
ข้อความที่ใช้ซ้ำๆ
ข้อความใดๆ ที่คุณใช้เป็นประจำ

คุณสมบัติหลัก:

บันทึกได้สูงสุด 100 ข้อความ
จัดระเบียบด้วย 5 แท็บ (A–E)
ประวัติการคัดลอก (20 รายการล่าสุด)
อินเทอร์เฟซที่สะอาดและเรียบง่าย

หยุดเสียเวลากับการพิมพ์ซ้ำๆ ได้แล้ว
บันทึกครั้งเดียว วางได้ทุกที่","Bạn có mệt mỏi vì phải copy-paste cùng một đoạn văn bản lặp đi lặp lại không?
MyQuickPaste là một công cụ nhẹ và mạnh mẽ giúp bạn lưu các đoạn văn bản thường dùng và dán chỉ với một cú click.
Hoàn hảo cho:

Prompt AI (ChatGPT, Claude, v.v.)
Đoạn code lập trình
Mẫu email
Tin nhắn lặp lại
Bất kỳ văn bản nào bạn dùng thường xuyên

Tính năng chính:

Lưu tối đa 100 đoạn văn bản
Tổ chức bằng 5 tab (A–E)
Lịch sử sao chép (20 mục gần nhất)
Giao diện sạch sẽ, dễ sử dụng

Hãy ngừng lãng phí thời gian với việc gõ lặp lại.
Lưu một lần, dán ở bất cứ đâu.","Aynı metni tekrar tekrar kopyalayıp yapıştırmaktan bıktınız mı?
MyQuickPaste, sık kullandığınız metinleri kaydedip tek tıkla anında yapıştırmanızı sağlayan hafif ve güçlü bir araçtır.
Özellikle şu işler için idealdir:

AI prompt'ları (ChatGPT, Claude vb.)
Programlama kod parçaları
E-posta şablonları
Tekrarlanan mesajlar
Düzenli olarak kullandığınız her türlü metin

Başlıca Özellikler:

Maksimum 100 metin kaydetme
5 sekme ile düzenleme (A–E)
Kopyalama geçmişi (son 20 öğe)
Temiz ve basit arayüz

Tekrar eden yazma işlerine son verin.
Bir kez kaydedin, her yerde yapıştırın.","Втомилися постійно копіювати та вставляти один і той самий текст?
MyQuickPaste — це легкий та потужний інструмент, який дозволяє зберігати часто використовувані тексти та вставляти їх одним кліком.
Ідеально підходить для:

AI-промптів (ChatGPT, Claude тощо)
Фрагментів коду
Шаблонів листів
Повторюваних повідомлень
Будь-яких текстів, які ви використовуєте регулярно

Основні функції:

Збереження до 100 текстів
Організація в 5 вкладках (A–E)
Історія копіювання (останні 20 елементів)
Чистий та простий інтерфейс

Припиніть витрачати час на повторювані дії.
Збережіть один раз — вставляйте будь-де.","Tired of copying and pasting the same text over and over?
MyQuickPaste is a lightweight and powerful tool that lets you save your frequently used text and paste it instantly with just one click.
Perfect for:

AI prompts (ChatGPT, Claude, etc.)
Programming code snippets
Email templates
Repetitive messages
Any text you use regularly

Key Features:

Save up to 100 text snippets
Organize with 5 tabs (A–E)
Copy history (last 20 items)
Clean and simple interface

Stop wasting time on repetitive typing.
Save once, paste anywhere.","Moe van steeds dezelfde tekst kopiëren en plakken?
MyQuickPaste is een lichtgewicht en krachtige tool waarmee je veelgebruikte teksten kunt opslaan en met één klik kunt plakken.
Ideaal voor:

AI-prompts (ChatGPT, Claude, etc.)
Code snippets
E-mail templates
Herhalende berichten
Alle teksten die je regelmatig gebruikt

Belangrijkste functies:

Tot 100 teksten opslaan
Organiseren in 5 tabbladen (A–E)
Kopieergeschiedenis (laatste 20 items)
Schone en eenvoudige interface

Stop met tijd verspillen aan herhalend typen.
Eén keer opslaan, overal plakken.","Trött på att kopiera och klistra in samma text om och om igen?
MyQuickPaste är ett lätt och kraftfullt verktyg som låter dig spara ofta använda texter och klistra in dem med ett enda klick.
Perfekt för:

AI-prompter (ChatGPT, Claude m.fl.)
Kodsnuttar
E-postmallar
Repetitiva meddelanden
Alla texter du använder regelbundet

Huvudfunktioner:

Upp till 100 sparade texter
Organisation i 5 flikar (A–E)
Kopieringshistorik (senaste 20 posterna)
Rent och enkelt gränssnitt

Sluta slösa tid på repetitivt skrivande.
Spara en gång, klistra in var som helst.","Masz dość ciągłego kopiowania i wklejania tego samego tekstu?
MyQuickPaste to lekkie i potężne narzędzie, które pozwala zapisywać często używane teksty i wklejać je jednym kliknięciem.
Idealne do:

Promptów AI (ChatGPT, Claude itp.)
Fragmentów kodu programistycznego
Szablonów maili
Powtarzających się wiadomości
Wszelkich tekstów, których używasz regularnie

Główne funkcje:

Możliwość zapisania do 100 tekstów
Organizacja w 5 zakładkach (A–E)
Historia kopiowania (ostatnie 20 elementów)
Czysty i prosty interfejs

Przestań marnować czas na powtarzalne pisanie.
Zapisz raz, wklejaj gdzie chcesz."
ReleaseNotes,3,テキスト,,Complete rebuild in C# for blazing fast performance and stability. Now supports 18 languages globally. Introduction of MyQuickPaste Pro features with expanded slots.,C#への全面刷新により、動作速度と安定性が劇的に向上しました。世界18カ国語に対応。スロット制限を解除できるPro版（アドオン）機能を追加しました。,Reconstruction complète en C# pour des performances et une stabilité ultra-rapides. Supporte désormais 18 langues. Introduction des fonctionnalités MyQuickPaste Pro.,Komplette Neuentwicklung in C# für blitzschnelle Performance und Stabilität. Unterstützt jetzt weltweit 18 Sprachen. Einführung von MyQuickPaste Pro-Funktionen.,采用 C# 全面重构，显著提升性能与稳定性。现支持 18 种语言。新增 MyQuickPaste Pro 功能，解除槽位限制。,採用 C# 全面重構，顯著提升性能與穩定性。現支持 18 種語言。新增 MyQuickPaste Pro 功能，解除槽位限制。,C#으로의 전체 재구축을 통해 성능과 안정성이 크게 향상되었습니다. 이제 18개 언어를 지원합니다. 슬롯 제한을 해제하는 MyQuickPaste Pro 기능이 추가되었습니다.,Полное обновление на C# для сверхбыстрой работы и стабильности. Теперь поддерживает 18 языков. Добавлены функции MyQuickPaste Pro с неограниченными слотами.,Riscritto completamente in C# per prestazioni e stabilità fulminee. Ora supporta 18 lingue. Introduzione delle funzionalità MyQuickPaste Pro.,Reconstrucción completa en C# para un rendimiento y estabilidad ultrarrápidos. Ahora soporta 18 idiomas. Introducción de las funciones de MyQuickPaste Pro.,Reconstrução completa em C# para desempenho e estabilidade ultra-rápidos. Agora suporta 18 idiomas globalmente. Introdução dos recursos MyQuickPaste Pro.,बेहतर प्रदर्शन और स्थिरता के लिए C# में पूर्ण पुनर्निर्माण। अब 18 भाषाओं का समर्थन करता है। MyQuickPaste Pro सुविधाओं का परिचय।,إعادة بناء كاملة بلغة C# لتحقيق أداء فائق واستقرار عالٍ. يدعم الآن 18 لغة عالمية. تقديم ميزات MyQuickPaste Pro مع فتح المزيد من الخانات.,,สร้างใหม่ทั้งหมดด้วย C# เพื่อประสิทธิภาพและความเสถียรที่รวดเร็วขึ้น รองรับ 18 ภาษาทั่วโลก เพิ่มฟีเจอร์ MyQuickPaste Pro เพื่อปลดล็อกข้อจำกัด,Được xây dựng lại hoàn toàn bằng C# để mang lại hiệu suất và độ ổn định cực nhanh. Hiện hỗ trợ 18 ngôn ngữ. Giới thiệu các tính năng MyQuickPaste Pro.,Daha yüksek performans ve kararlılık için C# ile tamamen yeniden oluşturuldu. Artık 18 dili destekliyor. MyQuickPaste Pro özellikleri eklendi.,Повне оновлення на C# для надшвидкої роботи та стабільності. Тепер підтримує 18 мов. Додано функції MyQuickPaste Pro.,,Volledig herbouwd in C# voor razendsnelle prestaties en stabiliteit. Ondersteunt nu wereldwijd 18 talen. Introductie van MyQuickPaste Pro-functies met uitgebreide slots.,Helt omskriven i C# för blixtsnabb prestanda och stabilitet. Stöder nu 18 språk globalt. Introduktion av MyQuickPaste Pro-funktioner med fler platser.,Całkowita przebudowa w C# zapewniająca błyskawiczną wydajność i stabilność. Obsługuje teraz 18 języków na całym świecie. Wprowadzenie funkcji MyQuickPaste Pro z rozszerzoną liczbą slotów.
Title,4,テキスト,,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste
ShortTitle,5,テキスト,,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste
SortTitle,6,テキスト,,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste
VoiceTitle,7,テキスト,,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste
ShortDescription,8,テキスト,,Save your frequently used text and paste it with one click.,よく使う文章を保存して、ワンクリックで貼り付け,Enregistrez vos textes fréquents et collez-les en un clic.,Häufig genutzte Texte speichern und mit einem Klick einfügen.,保存常用文字，一键快速粘贴,儲存常用文字，一鍵快速貼上,자주 쓰는 문장을 저장하고 한 번 클릭으로 붙여넣기,Сохраняйте часто используемые тексты и вставляйте одним кликом.,Salva i testi frequenti e incollali con un clic.,Guarda tus textos frecuentes y pégalos con un clic.,Guarde textos usados frequentemente e cole com um clique.,अक्सर इस्तेमाल होने वाले टेक्स्ट को सेव करें और एक क्लिक में पेस्ट करें,احفظ النصوص المستخدمة بانتظام والصقها بنقرة واحدة,Simpan teks yang sering digunakan dan tempel dengan satu klik,บันทึกข้อความที่ใช้บ่อยและวางด้วยคลิกเดียว,Lưu văn bản thường dùng và dán chỉ với một cú click,Sık kullandığınız metinleri kaydedin ve tek tıkla yapıştırın,Зберігайте часто використовувані тексти та вставляйте одним кліком,Save your frequently used text and paste it with one click.,Sla veelgebruikte teksten op en plak ze met één klik.,Spara ofta använda texter och klistra in med ett klick.,Zapisuj często używane teksty i wklejaj je jednym kliknięciem.
DevStudio,9,テキスト,,Kazuhiro Suda,Kazuhiro Suda,Kazuhiro Suda,Kazuhiro Suda,Kazuhiro Suda,Kazuhiro Suda,Kazuhiro Suda,Kazuhiro Suda,Kazuhiro Suda,Kazuhiro Suda,Kazuhiro Suda,Kazuhiro Suda,Kazuhiro Suda,Kazuhiro Suda,Kazuhiro Suda,Kazuhiro Suda,Kazuhiro Suda,Kazuhiro Suda,Kazuhiro Suda,Kazuhiro Suda,Kazuhiro Suda,Kazuhiro Suda
CopyrightTrademarkInformation,12,テキスト,,"Copyright © 2025 GoodRabbit.inc, Japan. All rights reserved.","Copyright © 2025 GoodRabbit.inc, Japan. All rights reserved.","Copyright © 2025 GoodRabbit.inc, Japan. All rights reserved.","Copyright © 2025 GoodRabbit.inc, Japan. All rights reserved.","Copyright © 2025 GoodRabbit.inc, Japan. All rights reserved.","Copyright © 2025 GoodRabbit.inc, Japan. All rights reserved.","Copyright © 2025 GoodRabbit.inc, Japan. All rights reserved.","Copyright © 2025 GoodRabbit.inc, Japan. All rights reserved.","Copyright © 2025 GoodRabbit.inc, Japan. All rights reserved.","Copyright © 2025 GoodRabbit.inc, Japan. All rights reserved.","Copyright © 2025 GoodRabbit.inc, Japan. All rights reserved.","Copyright © 2025 GoodRabbit.inc, Japan. All rights reserved.","Copyright © 2025 GoodRabbit.inc, Japan. All rights reserved.","Copyright © 2025 GoodRabbit.inc, Japan. All rights reserved.","Copyright © 2025 GoodRabbit.inc, Japan. All rights reserved.","Copyright © 2025 GoodRabbit.inc, Japan. All rights reserved.","Copyright © 2025 GoodRabbit.inc, Japan. All rights reserved.","Copyright © 2025 GoodRabbit.inc, Japan. All rights reserved.","Copyright © 2025 GoodRabbit.inc, Japan. All rights reserved.","Copyright © 2025 GoodRabbit.inc, Japan. All rights reserved.","Copyright © 2025 GoodRabbit.inc, Japan. All rights reserved.","Copyright © 2025 GoodRabbit.inc, Japan. All rights reserved."
AdditionalLicenseTerms,13,テキスト,,"This application is provided under the terms of the GNU General Public License version 3 (GPLv3). The source code of third-party libraries used in this application, such as PyQt6, is available upon request. For more details on other licenses, please refer to the help section within the application.",,"Cette application est fournie sous les termes de la Licence Publique Générale GNU version 3 (GPLv3). Le code source des bibliothèques tierces utilisées dans cette application, telles que PyQt6, est disponible sur demande. Pour plus de détails sur les autres licences, veuillez consulter la section d'aide de l'application.","Diese Anwendung wird unter den Bedingungen der GNU General Public License Version 3 (GPLv3) bereitgestellt. Der Quellcode von Drittanbieter-Bibliotheken, die in dieser Anwendung verwendet werden, wie z.B. PyQt6, ist auf Anfrage erhältlich. Weitere Details zu anderen Lizenzen finden Sie im Hilfe-Bereich innerhalb der Anwendung.",本应用程序依据 GNU 通用公共许可证条款版本 3 (GPLv3) 提供。本应用程序中使用的第三方库（例如 PyQt6）的源代码可应要求提供。有关其他许可的更多详细信息，请参阅应用程序内的帮助部分。,本應用程式依據 GNU 通用公共授權條款版本 3 (GPLv3) 提供。本應用程式中使用的第三方函式庫（例如 PyQt6）的原始碼可應要求提供。有關其他授權的更多詳細資訊，請參閱應用程式內的說明部分。,이 애플리케이션은 GNU 일반 공중 사용 허가서 버전 3 (GPLv3)의 조건에 따라 제공됩니다. PyQt6와 같이 이 애플리케이션에서 사용되는 제3자 라이브러리의 소스 코드는 요청 시 제공됩니다. 다른 라이선스에 대한 자세한 내용은 애플리케이션 내의 도움말 섹션을 참조하십시오.,"Это приложение предоставляется на условиях Стандартной общественной лицензии GNU версии 3 (GPLv3). Исходный код сторонних библиотек, используемых в этом приложении, таких как PyQt6, предоставляется по запросу. Для получения более подробной информации о других лицензиях, пожалуйста, обратитесь к разделу справки в приложении.","Questa applicazione è fornita secondo i termini della GNU General Public License versione 3 (GPLv3). Il codice sorgente delle librerie di terze parti utilizzate in questa applicazione, come PyQt6, è disponibile su richiesta. Per maggiori dettagli su altre licenze, si prega di fare riferimento alla sezione di aiuto all'interno dell'applicazione.","Esta aplicación se proporciona bajo los términos de la Licencia Pública General de GNU versión 3 (GPLv3). El código fuente de las bibliotecas de terceros utilizadas en esta aplicación, como PyQt6, está disponible bajo petición. Para más detalles sobre otras licencias, consulte la sección de ayuda dentro de la aplicación.","Este aplicativo é fornecido sob os termos da Licença Pública Geral GNU versão 3 (GPLv3). O código-fonte de bibliotecas de terceiros usadas neste aplicativo, como o PyQt6, está disponível mediante solicitação. Para mais detalhes sobre outras licenças, consulte a seção de ajuda dentro do aplicativo.","यह एप्लिकेशन जीएनयू जनरल पब्लिक लाइसेंस संस्करण 3 (जीपीएलवी3) की शर्तों के तहत प्रदान किया गया है। इस एप्लिकेशन में उपयोग की जाने वाली तीसरे पक्ष की लाइब्रेरी, जैसे कि PyQt6, का स्रोत कोड अनुरोध पर उपलब्ध है। अन्य लाइसेंसों पर अधिक विवरण के लिए, कृपया एप्लिकेशन के भीतर सहायता अनुभाग देखें।","This application is provided under the terms of the GNU General Public License version 3 (GPLv3). The source code of third-party libraries used in this application, such as PyQt6, is available upon request. For more details on other licenses, please refer to the help section within the application.","This application is provided under the terms of the GNU General Public License version 3 (GPLv3). The source code of third-party libraries used in this application, such as PyQt6, is available upon request. For more details on other licenses, please refer to the help section within the application.",แอปพลิเคชันนี้มีให้ภายใต้เงื่อนไขของ GNU General Public License เวอร์ชัน 3 (GPLv3) ซอร์สโค้ดของไลบรารีของบุคคลที่สามที่ใช้ในแอปพลิเคชันนี้ เช่น PyQt6 สามารถขอได้ สำหรับรายละเอียดเพิ่มเติมเกี่ยวกับใบอนุญาตอื่น ๆ โปรดดูที่ส่วนช่วยเหลือภายในแอปพลิเคชัน,"Ứng dụng này được cung cấp theo các điều khoản của Giấy phép Công cộng Chung GNU phiên bản 3 (GPLv3). Mã nguồn của các thư viện của bên thứ ba được sử dụng trong ứng dụng này, chẳng hạn như PyQt6, có sẵn theo yêu cầu. Để biết thêm chi tiết về các giấy phép khác, vui lòng tham khảo phần trợ giúp trong ứng dụng.","Bu uygulama, GNU Genel Kamu Lisansı sürüm 3 (GPLv3) koşulları altında sağlanmaktadır. PyQt6 gibi bu uygulamada kullanılan üçüncü taraf kütüphanelerin kaynak kodu talep üzerine mevcuttur. Diğer lisanslar hakkında daha fazla ayrıntı için lütfen uygulama içindeki yardım bölümüne başvurun.","Ця програма надається на умовах Загальної публічної ліцензії GNU версії 3 (GPLv3). Вихідний код сторонніх бібліотек, що використовуються в цій програмі, таких як PyQt6, доступний за запитом. Для отримання додаткової інформації про інші ліцензії, будь ласка, зверніться до розділу довідки в програмі.",,"Deze applicatie wordt aangeboden onder de voorwaarden van de GNU General Public License versie 3 (GPLv3). De broncode van externe bibliotheken die in deze applicatie worden gebruikt, zoals PyQt6, is op verzoek beschikbaar. Raadpleeg de Help-sectie in de applicatie voor meer informatie over andere licenties.","Den här appen tillhandahålls enligt villkoren i GNU General Public License version 3 (GPLv3). Källkoden för tredjepartsbibliotek som används i appen, till exempel PyQt6, finns tillgänglig på begäran. Mer information om andra licenser finns i appens hjälpavsnitt.","Ta aplikacja jest udostępniana na warunkach GNU General Public License w wersji 3 (GPLv3). Kod źródłowy bibliotek stron trzecich używanych w tej aplikacji, takich jak PyQt6, jest dostępny na żądanie. Więcej informacji o innych licencjach znajduje się w sekcji pomocy w aplikacji."
